ReservoirCode,Region,Latitude,Longitude,Elevation_ft,AnnualFactor,AnnualSlope,AnnualIntercept
ECHOL,Sacramento Valley,38.8351,-120.0445,7420.0,1.1713847835976006,1.4723052660489075,-1.5106671342758027
EDSON,San Joaquin Valley,37.3705,-118.9893,7644.0,1.2193509586670452,1.456227361127679,-1.4702070689095512
ELENR,San Joaquin Valley,37.9743,-119.88,4663.0,0.9184881215656729,0.9863546493512992,-0.34459231370304
ENGLB,Sacramento Valley,39.2396,-121.2695,542.0,0.8991755085441276,1.0017335114986927,-0.620383609754676
EPARK,Sacramento Valley,39.3573,-122.5157,1202.0,0.9494348521195616,1.0497102793148891,-0.6199167284168006
ESTMN,San Joaquin Valley,37.216697,-119.9844,619.0,1.0827252942991277,1.3002644847372957,-1.4227429396970876
FLRNC,San Joaquin Valley,37.2724,-118.9668,7330.0,1.0470713464610866,1.1901303164997694,-0.6406478589960507
FOLSM,Sacramento Valley,38.7078,-121.1566,490.0,0.8991755085441276,1.0017335114986927,-0.620383609754676
FRDYC,Sacramento Valley,39.3811,-120.4967,6346.0,1.1713847835976006,1.4723052660489075,-1.5106671342758027
FRMAN,Sacramento Valley,39.8932,-120.1892,5607.0,1.0699356520516587,1.218059885574936,-0.8861243084659627
FRMDW,Sacramento Valley,39.1121,-120.4703,5270.0,1.1713847835976006,1.4723052660489075,-1.5106671342758027
FRNCH,Sacramento Valley,39.4211,-120.5421,6664.0,1.1713847835976006,1.4723052660489075,-1.5106671342758027
GERLE,Sacramento Valley,38.9661,-120.3944,5232.0,1.1713847835976006,1.4723052660489075,-1.5106671342758027
HHOLE,Sacramento Valley,39.0582,-120.4092,4650.0,1.1713847835976006,1.4723052660489075,-1.5106671342758027
HNGTN,San Joaquin Valley,37.2275,-119.2354,6951.0,0.9386951076703275,1.1504224673006438,-0.9546248203980188
HNSLY,San Joaquin Valley,37.11056,-119.88306,561.0,1.1437372877569598,1.3007095463643057,-1.0310731571766514
HTCHY,San Joaquin Valley,37.9477,-119.7879,3810.4,0.9184881215656729,0.9863546493512992,-0.34459231370304
ICEHS,Sacramento Valley,38.8235,-120.3605,5480.0,1.1713847835976006,1.4723052660489075,-1.5106671342758027
INDVL,Sacramento Valley,39.083,-122.533,1699.0,0.9494348521195616,1.0497102793148891,-0.6199167284168006
JKSMD,Sacramento Valley,39.5089,-120.559,6044.5,1.1713847835976006,1.4723052660489075,-1.5106671342758027
JNKSN,San Joaquin Valley,38.7154,-120.5619,3471.65,0.7916343435659221,0.9797537646035256,-1.0857120677349448
KSWCK,Sacramento Valley,40.638,-122.5325,588.0,1.0731765752267937,1.2349608179244933,-0.9871954030383501
LBEAR,San Joaquin Valley,38.5378,-120.2553,5824.0,1.0911279794267945,1.1431189595159064,-0.2730694556586899
LCBRF,Sacramento Valley,39.4116,-120.6235,6664.0,1.1713847835976006,1.4723052660489075,-1.5106671342758027
LGRSV,Sacramento Valley,39.7251,-121.0204,5047.0,1.0699356520516587,1.218059885574936,-0.8861243084659627
LKVLY,Sacramento Valley,39.3003,-120.5981,5935.0,1.1713847835976006,1.4723052660489075,-1.5106671342758027
LOONL,Sacramento Valley,38.988,-120.3322,6412.0,1.1713847835976006,1.4723052660489075,-1.5106671342758027
LOSVQ,San Joaquin Valley,37.8374,-121.7282,524.0,1.0835567053610424,1.190616254203799,-0.6005297763492505
LWSTN,Sacramento Valley,40.727,-122.793,1903.0,0.7563735726415668,0.8728376796257139,-0.7002927719006733
LYONS,San Joaquin Valley,38.0942,-120.1673,4224.0,1.2193509586670452,1.456227361127679,-1.4702070689095512
MAMTH,San Joaquin Valley,37.3233,-119.3168,3340.0,1.2193509586670452,1.456227361127679,-1.4702070689095512
MCLRE,San Joaquin Valley,37.5856,-120.2707,879.0,1.2193509586670452,1.456227361127679,-1.4702070689095512
MDSTO,San Joaquin Valley,37.656146,-120.67485,210.0,1.1884849777937976,1.4453014274908922,-1.5807696904631658
MELON,San Joaquin Valley,37.948792,-120.52394,1086.0,1.0624341853099486,1.1952193236009558,-0.8153262710706004
MERLC,Sacramento Valley,39.3235,-121.3157,1197.0,1.0699356520516587,1.218059885574936,-0.8861243084659627
MLRTN,San Joaquin Valley,37.003,-119.7048,585.0,1.0516717630989658,1.1875683975230935,-0.9199200606129603
MTMDW,Sacramento Valley,40.2836,-121.0248,5046.0,1.0699356520516587,1.218059885574936,-0.8861243084659627
NBLDB,Sacramento Valley,39.3925,-121.1415,1965.0,1.0699356520516587,1.218059885574936,-0.8861243084659627
NHGAN,San Joaquin Valley,38.15048,-120.81311,713.0,1.118246887928152,1.2618869737796352,-0.8910634625406866
NTOMA,Sacramento Valley,38.6359,-121.2248,125.0,1.0400025589490542,1.2018369419401627,-0.9616278245144265
OROVL,Sacramento Valley,39.543,-121.4922,922.0,1.0699356520516587,1.218059885574936,-0.8861243084659627
PARDE,San Joaquin Valley,38.2573,-120.85,600.0,0.9220093747718898,1.1514171298296687,-1.4269357239641822
PCRST,San Joaquin Valley,38.1995,-119.9893,5618.5,1.2193509586670452,1.456227361127679,-1.4702070689095512
PEDRO,San Joaquin Valley,37.7005,-120.4218,839.0,1.2193509586670452,1.456227361127679,-1.4702070689095512
PRRIS,Other,38.683,-121.183,282.0,0.95691714344635,0.8021950422857328,0.994938632174672
PYRMD,Other,34.6435,-118.7679,2999.0,0.7987752740732893,-0.7643291009568924,8.74564475445669
RDNGR,San Joaquin Valley,37.1447,-119.4514,2323.0,1.1865800407829428,1.4103568888891636,-1.3963093080850948
RLIEF,San Joaquin Valley,38.2812,-119.7334,7341.0,1.2193509586670452,1.456227361127679,-1.4702070689095512
RLLNS,Sacramento Valley,39.137,-120.9549,2187.5,1.0699356520516587,1.218059885574936,-0.8861243084659627
RNCHO,San Joaquin Valley,38.5069,-121.0754,247.33333333333334,1.2193509586670452,1.456227361127679,-1.4702070689095512
RVPHB,Sacramento Valley,40.1115,-120.966,5655.80000000006,1.0699356520516587,1.218059885574936,-0.8861243084659627
SCOTF,Sacramento Valley,39.2703,-120.93,3085.0,1.1713847835976006,1.4723052660489075,-1.5106671342758027
SGRGE,Sacramento Valley,39.5862,-122.5325,850.0,1.0273343635920305,1.2289391918054362,-1.2668991028258727
SHSTA,Sacramento Valley,40.7186,-122.4193,1070.0,0.9282245591892143,0.9488658969666492,-0.11892021688791532
SHVER,San Joaquin Valley,37.1444,-119.3029,5371.0,0.9550930496252471,1.1471791785475078,-0.9339032924051449
SILVR,Sacramento Valley,38.6684,-120.1217,7208.3,1.1713847835976006,1.4723052660489075,-1.5106671342758027
SLTSP,San Joaquin Valley,38.4984,-120.2157,3958.0,1.0911279794267945,1.1431189595159064,-0.2730694556586899
SLUIS,San Joaquin Valley,37.0696,-121.0821,548.7,1.7050327637472455,2.127439147935747,-2.3979779951656353
SLYCK,Sacramento Valley,39.5805,-121.1164,3536.0,1.0699356520516587,1.218059885574936,-0.8861243084659627
SPICE,San Joaquin Valley,38.3935,-119.9993,6614.0,1.2193509586670452,1.456227361127679,-1.4702070689095512
SPLDG,Sacramento Valley,39.3269,-120.6432,5016.1,1.1713847835976006,1.4723052660489075,-1.5106671342758027
STMPY,Sacramento Valley,38.9035,-120.6043,4085.0,0.7916343435659221,0.9797537646035256,-1.0857120677349448
SVRWD,Other,34.304,-117.318,3593.0,0.95691714344635,0.8021950422857328,0.994938632174672
THRMA,Sacramento Valley,39.45,-121.63,137.1,1.0699356520516587,1.218059885574936,-0.8861243084659627
THRMF,Sacramento Valley,39.519,-121.62,716.0,1.0699356520516587,1.218059885574936,-0.8861243084659627
TRLCK,San Joaquin Valley,37.6117,-120.5944,241.5,1.1884849777937976,1.4453014274908922,-1.5807696904631658
TRNTY,Sacramento Valley,40.801,-122.762,2380.0,0.7853516574521526,0.9004123048244151,-0.6680830293760351
TULOC,San Joaquin Valley,37.876463,-120.605,511.0,1.066186965958247,1.1925835156786837,-0.7654645269450588
UBEAR,San Joaquin Valley,38.5378,-120.2553,5952.0,1.0911279794267945,1.1431189595159064,-0.2730694556586899
UNVLY,Sacramento Valley,39.8838,-120.4766,4870.0,1.1713847835976006,1.4723052660489075,-1.5106671342758027
WDWRD,San Joaquin Valley,37.86172,-120.87718,210.0,1.1884849777937976,1.4453014274908922,-1.5807696904631658
WKYTN,Sacramento Valley,40.598,-122.537,1220.0,0.7412396541466031,0.8914284595379516,-0.9114985734297791
