ReservoirCode,Region,Latitude,Longitude,Elevation_ft,AnnualFactor,AnnualSlope,AnnualIntercept
ALDER,Sacramento Valley,38.7031,-120.0649,8028.0,0.7916343435659221,0.9797537646035256,-1.0857120677349448
ALMNR,Sacramento Valley,40.1736,-121.0905,4515.0,1.0699356520516587,1.218059885574936,-0.8861243084659627
ALOHA,Sacramento Valley,38.8599,-120.1372,8135.7,1.1713847835976006,1.4723052660489075,-1.5106671342758027
AMADR,San Joaquin Valley,38.304,-120.8887,481.0,1.2193509586670452,1.456227361127679,-1.4702070689095512
ANTLP,Sacramento Valley,40.1808,-120.6075,5025.0,1.0699356520516587,1.218059885574936,-0.8861243084659627
BANOS,San Joaquin Valley,36.9916,-120.9314,353.5,1.7029238647509772,2.027994987486607,-1.9184112499208776
BASSL,San Joaquin Valley,37.2899,-119.5263,3376.4,1.0344382024164975,1.2275699202432109,-1.1037703833587669
BEARD,San Joaquin Valley,38.204,-120.0748,3398.0,1.2193509586670452,1.456227361127679,-1.4702070689095512
BLKBT,Sacramento Valley,39.808,-122.329,500.0,1.1393594317437792,1.2307154865928027,-0.5609511772535241
BOWMN,Sacramento Valley,39.4567,-120.6108,5567.0,1.1713847835976006,1.4723052660489075,-1.5106671342758027
BRYSA,Sacramento Valley,38.513,-122.104,1030.0,0.8635449122584425,1.0303176272613244,-0.9952312181350997
BTVLY,Sacramento Valley,40.1147,-121.1431,4137.0,1.0699356520516587,1.218059885574936,-0.8861243084659627
BUCKS,Sacramento Valley,39.8959,-121.2032,5160.0,1.0699356520516587,1.218059885574936,-0.8861243084659627
CAPLS,Sacramento Valley,38.7031,-120.0649,7957.0,1.1713847835976006,1.4723052660489075,-1.5106671342758027
CHRRY,San Joaquin Valley,37.9758,-119.9111,4705.0,0.9184881215656729,0.9863546493512992,-0.34459231370304
CLRLK,Sacramento Valley,39.039,-122.912,1365.0,0.9494348521195616,1.0497102793148891,-0.6199167284168006
CMBIE,Sacramento Valley,39.0101,-121.0583,1610.0,1.0699356520516587,1.218059885574936,-0.8861243084659627
CMCHE,San Joaquin Valley,38.2255,-121.02222,248.0,1.1114997953968921,1.2726533030128824,-0.9773496825365813
CMPFW,Sacramento Valley,39.0489,-121.315,300.0,0.8991755085441276,1.0017335114986927,-0.620383609754676
CSTIC,Other,34.5152,-118.6101,1506.0,0.95691714344635,0.8021950422857328,0.994938632174672
DAVIS,Sacramento Valley,39.884,-120.4769,5775.0,1.0699356520516587,1.218059885574936,-0.8861243084659627
DELVE,Other,37.614,-121.745,883.0,1.7050327637472455,2.127439147935747,-2.3979779951656353
DONLL,San Joaquin Valley,38.3304,-119.9609,4898.65,1.2193509586670452,1.456227361127679,-1.4702070689095512
