CS3_Inflow,VIC_Inflow
FOLSM_INFLOW,8RI_FOL_I
FOLSOM_INFLOW,8RI_FOL_I
I_ALD002,I_ALD002
I_ALD004,I_ALD004
I_ALMNR,I_ALMNR
I_ALOHA,I_ALOHA
I_AMADR,I_AMADR
I_ANG017,I_ANG017
I_ANT011,I_ANT011
I_ANTLP,I_ANTLP
I_BANOS,I_BANOS
I_BCC014,I_BCC014
I_BCK040,I_BCK040
I_BCM003,
I_BCN010,I_BCN010
I_BEARD,I_BEARD
I_BLKBT,I_BLKBT
I_BOWMN,I_BOWMN
I_BRC003,I_BRC003
I_BRR023,I_BRR023
I_BSH003,I_BSH003
I_BTC048,I_BTC048
I_BTL006,I_BTL006
I_BTVLY,I_BTVLY
I_BUCKS,I_BUCKS
I_BUR005,I_BUR005
I_BVC007,I_BVC007
I_CAP000,I_CAP000
I_CAPLS,I_CAPLS
I_CCH053,I_CCH053
I_CFS001,I_CFS001
I_CHC000,I_CHC000
I_CHW031,I_CHW031
I_CHY006,
I_CLR011,I_CLR011
I_CLRLK,I_CLRLK
I_CLV026,I_CLV026
I_CMBIE,I_CMBIE
I_CMCHE,I_CMCHE
I_CMP001,I_CMP001
I_CMP014,I_CMP014
I_CMPFW,I_CMPFW
I_COL003,I_COL003
I_COT033,I_COT033
I_COW014,I_COW014
I_CSM035,I_CSM035
I_CVY009,
I_CWD018,I_CWD018
I_CYN009,I_CYN009
I_DAVIS,I_DAVIS
I_DBC024,I_DBC024
I_DCC010,I_DCC010
I_DCM027,I_DCM027
I_DCT050,I_DCT050
I_DED044,I_DED044
I_DEE023,I_DEE023
I_DER001,I_DER001
I_DER004,I_DER004
I_DHC021,I_DHC021
I_DONLL,I_DONLL
I_DPC008,I_DPC008
I_DRC012,I_DRC012
I_DSC035,I_DSC035
I_EBF001,I_EBF001
I_EBTML,I_WBF006
I_ECHOL,I_ECHOL
I_ELD027,I_ELD027
I_ELENR,I_ELENR
I_ENGLB,I_ENGLB
I_EPARK,I_EPARK
I_ESTMN,I_ESTMN
I_FOLSM,I_FOLSM
I_FRDYC,I_FRDYC
I_FRMAN,I_FRMAN
I_FRMDW,I_FRMDW
I_FRNCH,I_FRNCH
I_FRS046,I_FRS046
I_FSL012,
I_GERLE,I_GERLE
I_GRZ012,I_GRZ012
I_GZL009,I_GZL009
I_HHOLE,I_HHOLE
I_HNSLY,I_HNSLY
I_HON021,I_HON021
I_HTCHY,I_HTCHY
I_ICEHS,I_ICEHS
I_INDVL,I_INDVL
I_ING008,I_ING008
I_JBP006,I_ANTLP
I_JKSMD,I_JKSMD
I_JNKSN,I_JNKSN
I_JWB001,
I_LCBRF,I_LCBRF
I_LCC038,I_LCC038
I_LDC029,I_LDC029
I_LGRSV,I_LGRSV
I_LJC022,I_LJC022
I_LKVLY,I_LKVLY
I_LLOYD,I_LLOYD
I_LNG012,I_LNG012
I_LOONL,I_LOONL
I_LOSVQ,I_LOSVQ
I_LPC007,I_LPC007
I_LRB004,I_LRB004
I_LWSTN,I_LWSTN
I_LYONS,I_LYONS
I_MCD055,I_MCD055
I_MCLRE,I_MCLRE
I_MELON_FCST,8RI_N_MEL
I_MERLC,I_MERLC
I_MFA001,I_MFA001
