term_part_b,term_part_c,basin_wyt,predictor_part_b,predictor_part_c,lower_bound,upper_bound
C_CBD001HIST,FLOW,sac,I_BRC003,INFLOW,,
C_KLR005HIST,FLOW,sac,I_BRC003,INFLOW,,
