WBA,Lat,Long,gridID
3,40.59375,-122.21875,40.59375_-122.21875
3,40.59375,-122.21875,40.59375_-122.21875
3,40.59375,-122.21875,40.59375_-122.21875
3,40.59375,-122.21875,40.59375_-122.21875
3,40.65625,-122.21875,40.65625_-122.21875
3,40.53125,-122.21875,40.53125_-122.21875
3,40.59375,-122.15625,40.59375_-122.15625
3,40.59375,-122.28125,40.59375_-122.28125
4,40.59375,-122.21875,40.59375_-122.21875
4,40.65625,-122.21875,40.65625_-122.21875
4,40.59375,-122.21875,40.59375_-122.21875
4,40.65625,-122.21875,40.65625_-122.21875
4,40.59375,-122.21875,40.59375_-122.21875
4,40.65625,-122.21875,40.65625_-122.21875
4,40.59375,-122.21875,40.59375_-122.21875
4,40.65625,-122.21875,40.65625_-122.21875
4,40.53125,-122.21875,40.53125_-122.21875
4,40.59375,-122.28125,40.59375_-122.28125
4,40.59375,-122.15625,40.59375_-122.15625
6,40.59375,-122.21875,40.59375_-122.21875
6,40.59375,-122.21875,40.59375_-122.21875
6,40.59375,-122.21875,40.59375_-122.21875
6,40.59375,-122.21875,40.59375_-122.21875
6,40.65625,-122.21875,40.65625_-122.21875
6,40.53125,-122.21875,40.53125_-122.21875
6,40.59375,-122.15625,40.59375_-122.15625
6,40.59375,-122.28125,40.59375_-122.28125
10,40.53125,-122.09375,40.53125_-122.09375
10,40.53125,-122.15625,40.53125_-122.15625
10,40.53125,-122.09375,40.53125_-122.09375
10,40.53125,-122.15625,40.53125_-122.15625
10,40.53125,-122.09375,40.53125_-122.09375
10,40.53125,-122.15625,40.53125_-122.15625
10,40.53125,-122.15625,40.53125_-122.15625
10,40.53125,-122.09375,40.53125_-122.09375
10,40.59375,-122.15625,40.59375_-122.15625
10,40.46875,-122.15625,40.46875_-122.15625
10,40.53125,-122.21875,40.53125_-122.21875
11,40.46875,-122.53125,40.46875_-122.53125
11,40.46875,-122.53125,40.46875_-122.53125
11,40.46875,-122.53125,40.46875_-122.53125
11,40.46875,-122.53125,40.46875_-122.53125
11,40.53125,-122.53125,40.53125_-122.53125
11,40.40625,-122.53125,40.40625_-122.53125
11,40.46875,-122.46875,40.46875_-122.46875
11,40.46875,-122.59375,40.46875_-122.59375
17,40.40625,-122.46875,40.40625_-122.46875
17,40.40625,-122.53125,40.40625_-122.53125
17,40.46875,-122.53125,40.46875_-122.53125
17,40.40625,-122.46875,40.40625_-122.46875
17,40.40625,-122.53125,40.40625_-122.53125
17,40.46875,-122.53125,40.46875_-122.53125
17,40.40625,-122.46875,40.40625_-122.46875
17,40.40625,-122.53125,40.40625_-122.53125
17,40.46875,-122.53125,40.46875_-122.53125
