1713	40.90625	-121.28125	36.53	36.53
1896	41.09375	-120.28125	36.42	36.42
1269	41.40625	-121.78125	36.27	36.27
2287	40.53125	-121.40625	36.74	36.74
1932	41.09375	-122.53125	36.46	7.0
1647	40.84375	-121.40625	36.57	36.57
1258	41.40625	-121.09375	36.25	36.25
1265	41.40625	-121.53125	36.26	36.26
1393	41.53125	-121.28125	36.19	36.15
1771	40.96875	-120.78125	36.49	25.75
1131	41.28125	-121.40625	36.33	36.33
2286	40.53125	-121.34375	36.73	36.73
594	41.71875	-120.46875	36.08	36.08
1205	41.34375	-121.90625	36.30	36.3
1201	41.34375	-121.65625	36.30	36.3
1055	41.21875	-120.90625	36.35	36.35
1853	41.03125	-121.78125	36.47	36.47
1898	41.09375	-120.40625	36.42	35.33
523	41.65625	-120.28125	36.11	13.19
1727	40.90625	-122.15625	36.55	36.55
667	41.78125	-120.71875	36.04	0.34
1052	41.21875	-120.71875	36.35	36.35
1274	41.40625	-122.09375	36.27	36.26
1505	40.71875	-121.15625	36.63	36.63
1145	41.28125	-122.28125	36.35	36.35
981	41.15625	-120.53125	36.39	36.39
1402	41.53125	-121.84375	36.20	13.92
1725	40.90625	-122.03125	36.55	36.55
990	41.15625	-121.09375	36.39	36.39
1909	41.09375	-121.09375	36.43	36.43
1385	41.53125	-120.78125	36.18	36.18
2216	40.46875	-121.34375	36.77	18.3
1828	41.03125	-120.21875	36.45	10.73
1524	40.71875	-122.34375	36.66	7.2
999	41.15625	-121.65625	36.40	36.4
1397	41.53125	-121.53125	36.19	36.19
1248	41.40625	-120.46875	36.25	36.25
1452	41.59375	-120.78125	36.15	35.91
1202	41.34375	-121.71875	36.30	36.3
1835	41.03125	-120.65625	36.45	36.45
1403	41.53125	-121.90625	36.20	1.81
1195	41.34375	-121.28125	36.29	36.29
1709	40.90625	-121.03125	36.53	36.53
1655	40.84375	-121.90625	36.58	36.58
1781	40.96875	-121.40625	36.50	36.5
1661	40.84375	-122.28125	36.59	36.59
1658	40.84375	-122.09375	36.58	36.58
1147	41.28125	-122.40625	36.35	36.35
735	41.84375	-120.53125	36.01	35.550000000000004
1573	40.78125	-121.03125	36.59	36.59
1511	40.71875	-121.53125	36.64	36.64
1259	41.40625	-121.15625	36.26	36.26
1008	41.15625	-122.21875	36.41	36.41
1005	41.15625	-122.03125	36.41	36.41
1058	41.21875	-121.09375	36.36	36.36
1331	41.46875	-121.53125	36.23	36.23
1133	41.28125	-121.53125	36.33	36.33
1310	41.46875	-120.21875	36.21	3.06
1829	41.03125	-120.28125	36.45	13.85
1513	40.71875	-121.65625	36.64	36.64
2419	40.65625	-121.03125	36.66	0.53
2428	40.65625	-121.59375	36.67	36.67
1264	41.40625	-121.46875	36.26	36.26
985	41.15625	-120.78125	36.39	36.39
1462	41.59375	-121.40625	36.16	21.86
986	41.15625	-120.84375	36.39	36.39
2289	40.53125	-121.53125	36.73839950562	36.7340506332
1512	40.71875	-121.59375	36.64	36.64
1320	41.46875	-120.84375	36.22	36.22
1120	41.28125	-120.71875	36.32	36.32
1183	41.34375	-120.53125	36.28	36.28
2424	40.65625	-121.34375	36.67	36.67
1324	41.46875	-121.09375	36.22	36.22
1924	41.09375	-122.03125	36.44	36.44
1127	41.28125	-121.15625	36.32	36.32
1189	41.34375	-120.90625	36.29	36.29
1850	41.03125	-121.59375	36.47	36.47
1865	41.03125	-122.53125	36.49259948730	17.12990044487
1785	40.96875	-121.65625	36.50	36.5
1064	41.21875	-121.46875	36.36	36.36
1383	41.53125	-120.65625	36.18	36.18
1388	41.53125	-120.96875	36.18	36.18
2426	40.65625	-121.46875	36.67	36.67
1328	41.46875	-121.34375	36.22	36.22
1079	41.21875	-122.40625	36.39	36.39
1200	41.34375	-121.59375	36.30	36.3
1123	41.28125	-120.90625	36.32	36.32
2420	40.65625	-121.09375	36.66	23.66
1776	40.96875	-121.09375	36.49	36.49
1276	41.40625	-122.21875	36.28	18.21
1798	40.96875	-122.46875	36.52	36.52
1787	40.96875	-121.78125	36.51	36.51
2354	40.59375	-121.28125	36.70	36.7
1130	41.28125	-121.34375	36.33	36.33
980	41.15625	-120.46875	36.39	36.39
1065	41.21875	-121.53125	36.36	36.36
2430	40.65625	-121.71875	36.67470169067	36.670891688400005
1003	41.15625	-121.90625	36.41	36.41
1188	41.34375	-120.84375	36.29	36.29
593	41.71875	-120.40625	36.08	36.08
1930	41.09375	-122.40625	36.45	36.45
595	41.71875	-120.53125	36.08	36.08
1917	41.09375	-121.59375	36.43	36.43
2422	40.65625	-121.21875	36.67	36.67
1595	40.78125	-122.40625	36.63	36.63
1400	41.53125	-121.71875	36.20	35.24
2285	40.53125	-121.28125	36.73	36.68
1861	41.03125	-122.28125	36.49	36.49
2214	40.46875	-121.21875	36.77	3.41
1777	40.96875	-121.15625	36.49	36.49
1181	41.34375	-120.40625	36.28	36.28
2352	40.59375	-121.15625	36.70	27.17
1142	41.28125	-122.09375	36.34	36.34
1140	41.28125	-121.96875	36.34	36.34
1916	41.09375	-121.53125	36.43	36.43
1643	40.84375	-121.15625	36.56	36.56
2217	40.46875	-121.40625	36.77	4.4
1652	40.84375	-121.71875	36.57	36.57
1503	40.71875	-121.03125	36.63	5.19
1275	41.40625	-122.15625	36.28	29.35
1050	41.21875	-120.59375	36.35	36.35
539	41.65625	-121.28125	36.12	0.63
2288	40.53125	-121.46875	36.74	36.74
1187	41.34375	-120.78125	36.28	36.28
1965	41.15625	-120.34375	36.38	36.38
1733	40.90625	-122.53125	36.56090164185	36.56090164185
1589	40.78125	-122.03125	36.61439895630	36.612858874
2360	40.59375	-121.65625	36.70719909668	36.70555581323
2423	40.65625	-121.28125	36.67	36.67
1720	40.90625	-121.71875	36.54	36.54
1902	41.09375	-120.65625	36.42	36.42
1141	41.28125	-122.03125	36.34	36.34
1203	41.34375	-121.78125	36.30	36.3
979	41.15625	-120.40625	36.38	36.38
1644	40.84375	-121.21875	36.56	36.56
1267	41.40625	-121.65625	36.26	36.26
1214	41.34375	-122.46875	36.32	7.46
1129	41.28125	-121.28125	36.33	36.33
1063	41.21875	-121.40625	36.36	36.36
1522	40.71875	-122.21875	36.65349960327	22.54615655322
1463	41.59375	-121.46875	36.16	9.31
1526	40.71875	-122.46875	36.66	17.58
1134	41.28125	-121.59375	36.33	36.33
1962	41.15625	-120.15625	36.38	18.58
1266	41.40625	-121.59375	36.26	36.26
1390	41.53125	-121.09375	36.19	14.58
1011	41.15625	-122.40625	36.42	36.42
1199	41.34375	-121.53125	36.30	36.3
1797	40.96875	-122.40625	36.52	36.52
1788	40.96875	-121.84375	36.51	36.51
1461	41.59375	-121.34375	36.15	22.24
1136	41.28125	-121.71875	36.33	36.33
1325	41.46875	-121.15625	36.22	36.22
1460	41.59375	-121.28125	36.15	19.89
597	41.71875	-120.65625	36.08	36.08
1852	41.03125	-121.71875	36.47	36.47
1184	41.34375	-120.59375	36.28	36.28
1045	41.21875	-120.28125	36.35	36.35
1261	41.40625	-121.28125	36.26	36.26
1860	41.03125	-122.21875	36.48	36.48
1903	41.09375	-120.71875	36.42	36.42
1135	41.28125	-121.65625	36.33	36.33
1858	41.03125	-122.09375	36.48	36.48
1577	40.78125	-121.28125	36.60	36.6
1447	41.59375	-120.46875	36.14	36.14
1663	40.84375	-122.40625	36.59	36.59
1712	40.90625	-121.21875	36.53	36.53
1654	40.84375	-121.84375	36.58	36.58
1146	41.28125	-122.34375	36.35	36.35
1719	40.90625	-121.65625	36.54	36.54
1851	41.03125	-121.65625	36.47	36.47
1646	40.84375	-121.34375	36.57	36.57
1273	41.40625	-122.03125	36.27	36.27
526	41.65625	-120.46875	36.11	36.11
1506	40.71875	-121.21875	36.63	36.63
1186	41.34375	-120.71875	36.28	36.28
1056	41.21875	-120.96875	36.36	36.36
599	41.71875	-120.78125	36.08	6.5
1245	41.40625	-120.28125	36.25	36.25
1715	40.90625	-121.40625	36.53	36.53
1278	41.40625	-122.34375	36.28	1.59
1914	41.09375	-121.40625	36.43	36.43
1072	41.21875	-121.96875	36.37	36.37
1650	40.84375	-121.59375	36.57	36.57
1836	41.03125	-120.71875	36.46	36.46
1326	41.46875	-121.21875	36.22	36.22
983	41.15625	-120.65625	36.39	36.39
1392	41.53125	-121.21875	36.19	22.1
1789	40.96875	-121.90625	36.51	36.51
1249	41.40625	-120.53125	36.25	36.25
1515	40.71875	-121.78125	36.64220046997	36.64220046997
1061	41.21875	-121.28125	36.36	36.36
1180	41.34375	-120.34375	36.28	36.28
664	41.78125	-120.53125	36.04	36.04
992	41.15625	-121.21875	36.39	36.39
1121	41.28125	-120.78125	36.32	36.32
1268	41.40625	-121.71875	36.27	36.27
1662	40.84375	-122.34375	36.59	36.59
1213	41.34375	-122.40625	36.32	29.33
1117	41.28125	-120.53125	36.32	36.32
1450	41.59375	-120.65625	36.15	36.15
2218	40.46875	-121.46875	36.77	15.03
1391	41.53125	-121.15625	36.19	6.09
1081	41.21875	-122.53125	36.39	7.18
1769	40.96875	-120.65625	36.49	20.49
1578	40.78125	-121.34375	36.60	36.6
1514	40.71875	-121.71875	36.64080047607	36.63778766222
1931	41.09375	-122.46875	36.46	22.02
1901	41.09375	-120.59375	36.42	34.46
1855	41.03125	-121.90625	36.47	36.47
736	41.84375	-120.59375	36.01	13.62
1837	41.03125	-120.78125	36.46	36.46
1834	41.03125	-120.59375	36.45	24.98
1575	40.78125	-121.15625	36.60	36.6
1584	40.78125	-121.71875	36.61	36.61
530	41.65625	-120.71875	36.11	36.11
1523	40.71875	-122.28125	36.66	6.92
1124	41.28125	-120.96875	36.32	36.32
1660	40.84375	-122.21875	36.59	36.59
1313	41.46875	-120.40625	36.21	36.21
1521	40.71875	-122.15625	36.65169906616	36.6469849388
1724	40.90625	-121.96875	36.54	36.54
1509	40.71875	-121.40625	36.63	36.63
1445	41.59375	-120.34375	36.14	36.14
1640	40.84375	-120.96875	36.56	36.56
1918	41.09375	-121.65625	36.44	36.44
1465	41.59375	-121.59375	36.16	32.39
1899	41.09375	-120.46875	36.42	19.39
1251	41.40625	-120.65625	36.25	36.25
1849	41.03125	-121.53125	36.47	36.47
1444	41.59375	-120.28125	36.14	25.54
1793	40.96875	-122.15625	36.52	36.52
1182	41.34375	-120.46875	36.28	36.28
1729	40.90625	-122.28125	36.55	36.55
1665	40.84375	-122.53125	36.59500122070	36.5950012207
1076	41.21875	-122.21875	36.38	36.38
1927	41.09375	-122.21875	36.45	36.45
1843	41.03125	-121.15625	36.46	36.46
1067	41.21875	-121.65625	36.37	36.37
1395	41.53125	-121.40625	36.19	36.19
1722	40.90625	-121.84375	36.54	36.54
1114	41.28125	-120.34375	36.32	36.32
1770	40.96875	-120.71875	36.49	21.82
1314	41.46875	-120.46875	36.21	36.21
1653	40.84375	-121.78125	36.57	36.57
1329	41.46875	-121.40625	36.22	36.22
1588	40.78125	-121.96875	36.61280059814	36.6124660034
1260	41.40625	-121.21875	36.26	36.26
1894	41.09375	-120.15625	36.42	3.53
